%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234550847114097,474,1635234550846896108,pacmod,0,0,0,0,0,0,0,-0.265,0.0,-0.265
1635234550879607862,475,1635234550879396172,pacmod,0,0,0,0,0,0,0,-0.265,0.0,-0.265
1635234550914492072,476,1635234550914233053,pacmod,0,0,0,0,0,0,0,-0.265,0.0,-0.265
1635234550947744720,477,1635234550947517260,pacmod,0,0,0,0,0,0,0,-0.265,0.0,-0.265
1635234550979863386,478,1635234550979646916,pacmod,0,0,0,0,0,0,0,-0.265,0.0,-0.265
1635234551013607756,479,1635234551013381484,pacmod,0,0,0,0,0,0,0,-0.262,0.0,-0.262
1635234551047122223,480,1635234551046920599,pacmod,0,0,0,0,0,0,0,-0.258,0.0,-0.258
1635234551080391109,481,1635234551080142767,pacmod,0,0,0,0,0,0,0,-0.251,0.0,-0.251
1635234551114559274,482,1635234551114316390,pacmod,0,0,0,0,0,0,0,-0.241,0.0,-0.241
1635234551148852023,483,1635234551148521915,pacmod,0,0,0,0,0,0,0,-0.23,0.0,-0.23
1635234551181583928,484,1635234551180938498,pacmod,0,0,0,0,0,0,0,-0.211,0.0,-0.211
1635234551215686120,485,1635234551215447704,pacmod,0,0,0,0,0,0,0,-0.192,0.0,-0.192
1635234551249029281,486,1635234551248734267,pacmod,0,0,0,0,0,0,0,-0.175,0.0,-0.175
1635234551281218293,487,1635234551280969541,pacmod,0,0,0,0,0,0,0,-0.166,0.0,-0.166
1635234551314930634,488,1635234551314700037,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551349468287,489,1635234551349284264,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551381672874,490,1635234551381462833,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551415410044,491,1635234551415202083,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551449782615,492,1635234551449541849,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551482049984,493,1635234551481762783,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551516209334,494,1635234551515901145,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551549006765,495,1635234551548797288,pacmod,0,0,0,0,0,0,0,-0.161,0.0,-0.161
1635234551582638834,496,1635234551582260603,pacmod,0,0,0,0,0,0,0,-0.159,0.0,-0.159
1635234551616563450,497,1635234551616319310,pacmod,0,0,0,0,0,0,0,-0.159,0.0,-0.159
1635234551650788489,498,1635234551650511902,pacmod,0,0,0,0,0,0,0,-0.159,0.0,-0.159
1635234551683688897,499,1635234551683226585,pacmod,0,0,0,0,0,0,0,-0.159,0.0,-0.159
1635234551720918123,500,1635234551717652929,pacmod,0,0,0,0,0,0,0,-0.157,0.0,-0.157
1635234551751300384,501,1635234551750926283,pacmod,0,0,0,0,0,0,0,-0.155,0.0,-0.155
1635234551783596446,502,1635234551783229394,pacmod,0,0,0,0,0,0,0,-0.154,0.0,-0.154
1635234551817516497,503,1635234551816974547,pacmod,0,0,0,0,0,0,0,-0.148,0.0,-0.148
1635234551851911305,504,1635234551851468967,pacmod,0,0,0,0,0,0,0,-0.14,0.0,-0.14
1635234551884091337,505,1635234551883723378,pacmod,0,0,0,0,0,0,0,-0.12,0.0,-0.12
1635234551920126784,506,1635234551917446479,pacmod,0,0,0,0,0,0,0,-0.106,0.0,-0.106
1635234551952195646,507,1635234551951793695,pacmod,0,0,0,0,0,0,0,-0.086,0.0,-0.086
1635234551984186179,508,1635234551983861225,pacmod,0,0,0,0,0,0,0,-0.063,0.0,-0.063
1635234552019480248,509,1635234552018979312,pacmod,0,0,0,0,0,0,0,-0.038,0.0,-0.038
1635234552052239196,510,1635234552052077893,pacmod,0,0,0,0,0,0,0,-0.014,0.0,-0.014
1635234552084470937,511,1635234552084268197,pacmod,0,0,0,0,0,0,0,-0.002,0.0,-0.002
1635234552119436345,512,1635234552119159457,pacmod,0,0,0,0,0,0,0,0.002,0.0,0.002
1635234552153247376,513,1635234552152868360,pacmod,0,0,0,0,0,0,0,0.002,0.0,0.002
1635234552184972271,514,1635234552184636078,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234552218985843,515,1635234552218661641,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234552253728130,516,1635234552253344160,pacmod,0,0,0,0,0,0,0,0.002,0.0,0.002
1635234552286128105,517,1635234552285793882,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234552320447976,518,1635234552320154466,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234552353835696,519,1635234552353507797,pacmod,0,0,0,0,0,0,0,0.002,0.0,0.002
1635234552386033712,520,1635234552385722020,pacmod,0,0,0,0,0,0,0,0.001,0.0,0.001
1635234552420020365,521,1635234552419741693,pacmod,0,0,0,0,0,0,0,0.006,0.0,0.006
1635234552454286380,522,1635234552453966988,pacmod,0,0,0,0,0,0,0,0.008,0.0,0.008
1635234552486496140,523,1635234552486207870,pacmod,0,0,0,0,0,0,0,0.009,0.0,0.009
1635234552520706198,524,1635234552520303730,pacmod,0,0,0,0,0,0,0,0.013,0.0,0.013
1635234552554763145,525,1635234552554497690,pacmod,0,0,0,0,0,0,0,0.015,0.0,0.015
1635234552587150091,526,1635234552586718062,pacmod,0,0,0,0,0,0,0,0.018,0.0,0.018
1635234552621103590,527,1635234552620789747,pacmod,0,0,0,0,0,0,0,0.02,0.0,0.02
1635234552655572704,528,1635234552655156428,pacmod,0,0,0,0,0,0,0,0.02,0.0,0.02
1635234552687782947,529,1635234552687501308,pacmod,0,0,0,0,0,0,0,0.02,0.0,0.02
1635234552722715566,530,1635234552722374834,pacmod,0,0,0,0,0,0,0,0.018,0.0,0.018
1635234552756082492,531,1635234552755700380,pacmod,0,0,0,0,0,0,0,0.011,0.0,0.011
1635234552788286853,532,1635234552787970021,pacmod,0,0,0,0,0,0,0,0.006,0.0,0.006
1635234552821934885,533,1635234552821551110,pacmod,0,0,0,0,0,0,0,-0.007,0.0,-0.007
1635234552855507506,534,1635234552855139213,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234552888650134,535,1635234552888372002,pacmod,0,0,0,0,0,0,0,-0.035,0.0,-0.035
1635234552923712912,536,1635234552923351272,pacmod,0,0,0,0,0,0,0,-0.047,0.0,-0.047
1635234552957098941,537,1635234552956709690,pacmod,0,0,0,0,0,0,0,-0.054,0.0,-0.054
1635234552989468077,538,1635234552988943465,pacmod,0,0,0,0,0,0,0,-0.054,0.0,-0.054
1635234553023465643,539,1635234553022680152,pacmod,0,0,0,0,0,0,0,-0.054,0.0,-0.054
1635234553057410974,540,1635234553056962349,pacmod,0,0,0,0,0,0,0,-0.054,0.0,-0.054
1635234553089682439,541,1635234553089259415,pacmod,0,0,0,0,0,0,0,-0.059,0.0,-0.059
1635234553124581090,542,1635234553124188929,pacmod,0,0,0,0,0,0,0,-0.063,0.0,-0.063
1635234553156635811,543,1635234553156267783,pacmod,0,0,0,0,0,0,0,-0.063,0.0,-0.063
1635234553190227176,544,1635234553189784087,pacmod,0,0,0,0,0,0,0,-0.066,0.0,-0.066
1635234553224720383,545,1635234553224348761,pacmod,0,0,0,0,0,0,0,-0.072,0.0,-0.072
1635234553258389482,546,1635234553257936024,pacmod,0,0,0,0,0,0,0,-0.077,0.0,-0.077
1635234553290444420,547,1635234553290088015,pacmod,0,0,0,0,0,0,0,-0.084,0.0,-0.084
1635234553325118239,548,1635234553324662531,pacmod,0,0,0,0,0,0,0,-0.094,0.0,-0.094
1635234553358585551,549,1635234553358271876,pacmod,0,0,0,0,0,0,0,-0.1,0.0,-0.1
1635234553391451484,550,1635234553390731103,pacmod,0,0,0,0,0,0,0,-0.105,0.0,-0.105
1635234553426303866,551,1635234553425462150,pacmod,0,0,0,0,0,0,0,-0.112,0.0,-0.112
