%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234550546797933,465,1635234550546606860,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550579201226,466,1635234550578955218,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550616100639,467,1635234550612798647,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550645915066,468,1635234550645788807,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550679653926,469,1635234550679457104,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550714336441,470,1635234550714138053,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550746759342,471,1635234550746615998,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550779741664,472,1635234550779586466,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550813746880,473,1635234550813601841,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550848004547,474,1635234550847822772,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550880861957,475,1635234550880673790,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550915305426,476,1635234550915176243,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550948534078,477,1635234550948373817,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550980795102,478,1635234550980642371,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551014607870,479,1635234551014426875,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551048080187,480,1635234551047917215,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551081302812,481,1635234551081136568,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551115411697,482,1635234551115156967,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551149566134,483,1635234551149433230,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551182140622,484,1635234551181931020,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551216525469,485,1635234551216404159,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551249845481,486,1635234551249709130,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551282064511,487,1635234551281906872,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551316342951,488,1635234551316040489,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551350526988,489,1635234551350181255,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551382930928,490,1635234551382562065,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551416473009,491,1635234551416270834,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551450736021,492,1635234551450490813,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551483234121,493,1635234551482987257,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551516885055,494,1635234551516733497,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551549908531,495,1635234551549745998,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551583345112,496,1635234551583218364,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551617594380,497,1635234551617326544,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551651632622,498,1635234551651492443,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551684384920,499,1635234551683907875,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551721117005,500,1635234551718652091,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551752156222,501,1635234551751940519,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551784516004,502,1635234551784177913,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551820888246,503,1635234551817989089,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551852626617,504,1635234551852406349,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551884896623,505,1635234551884660899,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551920217293,506,1635234551918366050,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551952864508,507,1635234551952664188,pacmod,0,0,0,0,0,0,0,1,1,1
1635234551985231747,508,1635234551984926175,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552020155568,509,1635234552019927020,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552053183238,510,1635234552053064666,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552085521794,511,1635234552085396536,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552120303399,512,1635234552120169149,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552154026751,513,1635234552153789821,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552185911178,514,1635234552185713206,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552219995576,515,1635234552219741560,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552254487430,516,1635234552254201272,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552287008052,517,1635234552286778763,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552321683556,518,1635234552321474655,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552354784246,519,1635234552354543321,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552387277137,520,1635234552387002655,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552421037470,521,1635234552420790231,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552455297540,522,1635234552455059931,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552487424267,523,1635234552487249281,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552521493299,524,1635234552521284778,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552555658636,525,1635234552555470509,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552588474230,526,1635234552588281444,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552623409159,527,1635234552622413643,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552656445813,528,1635234552656228796,pacmod,0,0,0,0,0,0,0,1,1,1
