%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vehicle_speed,field.vehicle_speed_valid
1635234555940770102,626,1635234555940444615,pacmod,6.53,1
1635234555973991640,627,1635234555973658145,pacmod,6.53,1
1635234556018330936,628,1635234556006675123,pacmod,6.55,1
1635234556041417211,629,1635234556041123011,pacmod,6.61,1
1635234556074768672,630,1635234556074455416,pacmod,6.6,1
1635234556113341411,631,1635234556107253080,pacmod,6.58,1
1635234556141707824,632,1635234556141419525,pacmod,6.55,1
1635234556175112896,633,1635234556174723555,pacmod,6.55,1
1635234556217380365,634,1635234556207736243,pacmod,6.58,1
1635234556241176160,635,1635234556240925091,pacmod,6.54,1
1635234556274567704,636,1635234556274218845,pacmod,6.58,1
1635234556308722206,637,1635234556308280369,pacmod,6.55,1
1635234556341841611,638,1635234556341429004,pacmod,6.57,1
1635234556375177392,639,1635234556374749978,pacmod,6.59,1
1635234556413077938,640,1635234556408531014,pacmod,6.62,1
1635234556442221723,641,1635234556441821498,pacmod,6.59,1
1635234556476587266,642,1635234556476059352,pacmod,6.58,1
1635234556510439718,643,1635234556508844806,pacmod,6.6,1
1635234556543952947,644,1635234556543376828,pacmod,6.6,1
1635234556576288928,645,1635234556575664162,pacmod,6.66,1
1635234556615573396,646,1635234556611080099,pacmod,6.67,1
1635234556644213076,647,1635234556643430918,pacmod,6.62,1
1635234556677328936,648,1635234556677049092,pacmod,6.63,1
1635234556713207415,649,1635234556710122414,pacmod,6.66,1
1635234556744233979,650,1635234556743616366,pacmod,6.66,1
1635234556777206245,651,1635234556776847539,pacmod,6.63,1
1635234556811751801,652,1635234556810353606,pacmod,6.65,1
1635234556845514653,653,1635234556844585256,pacmod,6.64,1
1635234556878488248,654,1635234556878076877,pacmod,6.56,1
1635234556915501247,655,1635234556910976801,pacmod,6.66,1
1635234556944449015,656,1635234556944131938,pacmod,6.59,1
1635234556978158233,657,1635234556977849946,pacmod,6.63,1
1635234557016186737,658,1635234557012331277,pacmod,6.61,1
1635234557044902908,659,1635234557044634948,pacmod,6.59,1
1635234557079061168,660,1635234557077868321,pacmod,6.6,1
1635234557113635989,661,1635234557111939268,pacmod,6.62,1
1635234557146574140,662,1635234557146360905,pacmod,6.64,1
1635234557178539791,663,1635234557178355017,pacmod,6.62,1
1635234557212658713,664,1635234557212306209,pacmod,6.69,1
1635234557245753029,665,1635234557245562661,pacmod,6.68,1
1635234557280411489,666,1635234557280030887,pacmod,6.66,1
1635234557317098372,667,1635234557312914966,pacmod,6.63,1
1635234557346476862,668,1635234557346201832,pacmod,6.66,1
1635234557383070864,669,1635234557380406732,pacmod,6.65,1
1635234557413616870,670,1635234557413374014,pacmod,6.65,1
1635234557446889668,671,1635234557446618174,pacmod,6.68,1
1635234557480252467,672,1635234557479925021,pacmod,6.67,1
1635234557514031574,673,1635234557513780989,pacmod,6.66,1
1635234557547306556,674,1635234557546958439,pacmod,6.67,1
1635234557580778634,675,1635234557580506879,pacmod,6.67,1
1635234557614795157,676,1635234557614490115,pacmod,6.67,1
1635234557649052301,677,1635234557648766403,pacmod,6.66,1
1635234557681263087,678,1635234557680986717,pacmod,6.69,1
1635234557715188728,679,1635234557714721846,pacmod,6.67,1
1635234557749598376,680,1635234557749345870,pacmod,6.68,1
1635234557783108185,681,1635234557782742342,pacmod,6.68,1
1635234557818920717,682,1635234557815752315,pacmod,6.7,1
1635234557850037621,683,1635234557849751543,pacmod,6.68,1
1635234557883390523,684,1635234557883155553,pacmod,6.69,1
1635234557915992161,685,1635234557915737675,pacmod,6.71,1
1635234557950895543,686,1635234557950380889,pacmod,6.75,1
1635234557982893186,687,1635234557982565134,pacmod,6.78,1
1635234558017251161,688,1635234558016977842,pacmod,6.68,1
