%time,field.data
1635234555529206994,0
1635234555562981142,0
1635234555595350065,0
1635234555628736324,0
1635234555663407202,0
1635234555695592818,0
1635234555730057759,0
1635234555763640503,0
1635234555796189997,0
1635234555829417899,0
1635234555863691382,0
1635234555896825350,0
1635234555931191943,0
1635234555964066375,0
1635234555997006969,0
1635234556031432556,0
1635234556064728452,0
1635234556097933234,0
1635234556132274058,0
1635234556165117933,0
1635234556198426785,0
1635234556231524315,0
1635234556264654106,0
1635234556298462834,0
1635234556332274793,0
1635234556365072880,0
1635234556399130736,0
1635234556432425225,0
1635234556466620719,0
1635234556499412898,0
1635234556533426164,0
1635234556566268693,0
1635234556599951920,0
1635234556633592589,0
1635234556667244014,0
1635234556700566372,0
1635234556733765785,0
1635234556767084782,0
1635234556801261440,0
1635234556835234564,0
1635234556868671913,0
1635234556902082836,0
1635234556934763000,0
1635234556968135797,0
1635234557002192050,0
1635234557035425043,0
1635234557068818649,0
1635234557102141732,0
1635234557136520767,0
1635234557168715863,0
1635234557202598078,0
1635234557236026761,0
1635234557270447974,0
1635234557303780536,0
1635234557336676505,0
1635234557371027620,0
1635234557404746690,0
1635234557436808379,0
1635234557470294841,0
1635234557504906924,0
1635234557537413428,0
1635234557571127159,0
1635234557611901865,0
1635234557638918989,0
1635234557671879509,0
1635234557712239762,0
1635234557739523233,0
1635234557773048947,0
1635234557808481197,0
1635234557840203071,0
1635234557873773750,0
1635234557912648352,0
1635234557940405665,0
1635234557973005105,0
1635234558008975020,0
1635234558044265985,0
1635234558074287314,0
1635234558116690131,0
1635234558141815673,0
1635234558175042332,0
1635234558217701448,0
1635234558241922630,0
1635234558275338346,0
1635234558313561115,0
1635234558342269139,0
1635234558375027182,0
1635234558414270726,0
1635234558443218027,0
1635234558476540526,0
1635234558514469894,0
1635234558543276656,0
1635234558576791281,0
1635234558611220694,0
1635234558643274244,0
1635234558677342660,0
1635234558717120982,0
1635234558744283519,0
1635234558777575182,0
1635234558810729771,0
1635234558844727649,0
